,animal,session_clear,heart_rate,gsr,delay,stamp,change,start,session,end,session_se,calculated,hr_ref,hr_dif
165,Vcela,2,90,101.05,1,,0.1,0,2,0,2,0,88.53571429,1.464285714
166,Vcela,3,74.35714286,228.5,1,,0.071428571,0,3,0,3,0,75.34090909,-0.983766234
167,Vcela,7,98.23529412,256.0588235,1,,0.058823529,0,7,0,7,0,101.9469697,-3.711675579
168,Vcela,9,72,0,1.071428571,,0.071428571,0,9,0,9,0.066666667,69.49621212,2.503787879
169,Vcela,11,96.85714286,-0.071428571,1,,0.071428571,0,11,0,11,0,85.96969697,10.88744589
170,Vcela,15,92.69230769,88,1,,0.076923077,0,15,0,15,0,87.20370377,5.488603927
171,Vcela,16,75.54031766,0.129032258,2.384615385,,0.076923077,0,16,0,16,0.580645161,72.56060606,2.979711598
172,Vcela,17,105.1666667,0.060606061,1.03125,,0.03125,0,17,0,17,0.03030303,110.2287234,-5.062056738
173,Vcela,18,98.35714286,0.071428571,1.076923077,,0.076923077,0,18,0,18,0.071428571,93.5959596,4.761183261
174,Vcela,19,82.40740741,138.2592593,1,,0.037037037,0,19,0,19,0,80.60984848,1.797558923
175,Vcela,22,86.11111111,0,1.038461538,,0.038461538,0,22,0,22,0.037037037,86.76515152,-0.654040404
176,Vcela,24,95.55555556,149.2222222,1,,0.055555556,0,24,0,24,0,98.08601409,-2.530458538
177,Vcela,25,114.3846154,0.076923077,1,,0.076923077,0,25,0,25,0,116.5,-2.115384615
178,Vcela,30,94.79166667,278.85,1.043478261,,0.043478261,0,30,0,30,0.041666667,94.40116279,0.390503876
179,Vcela,38,107.6875,,1,,0.0625,0,38,0,38,0,113.9704545,-6.282954545
180,Vcela,39,94.52631579,,1,,0.052631579,0,39,0,39,0,86.87234043,7.653975364
181,Vcela,40,97.92307692,,1.076923077,,0.076923077,0,40,0,40,0,98.98076923,-1.057692308
182,Vcela,41,102,,4.8,,0.2,0,41,0,41,0,100.6538462,1.346153846
183,Vcela,43,89.78571429,-0.045454545,1.611111111,,0.055555556,0,43,0,43,0.357142857,80.97272727,8.812987013
184,Vcela,44,75.34375,0.095238095,1.032258065,,0.032258065,0,44,0,44,0.03125,81.82007576,-6.476325758
185,Vcela,45,81.55555556,0,1,,0.055555556,0,45,0,45,0,75.81818182,5.737373737
186,Vcela,46,101.3333333,108.125,1,,0.083333333,0,46,0,46,0,101.4867424,-0.153409091
187,Vcela,49,85.40789674,0.151514227,1.80952381,,0.047619048,0,49,0,49,0.447368421,68.71212121,16.69577553
188,Vcela,50,85.92857143,38.55555556,1,,0.071428571,0,50,0,50,0,83.33143939,2.597132035
189,Vcela,51,90.26666667,0,1,,0.066666667,0,51,0,51,0,85.86363636,4.403030303
